member_id,member_name,dob
MBR00001,Stephanie Thomas,1969-01-24
MBR00002,Carlos Garcia,1968-11-24
MBR00003,Angel Johnson,1975-04-17
MBR00004,Tyler Anderson,2003-12-18
MBR00005,Kayla Perez,1962-03-23
MBR00006,Jacob Miller,1983-02-03
MBR00007,Robert Robinson,2000-05-26
MBR00008,Cheyenne Redhouse,1967-09-10
MBR00009,Michael Williams,1998-04-23
MBR00010,Joshua Miller,1980-02-28
MBR00011,Megan Thompson,2002-06-06
MBR00012,Michael Whitehorse,2006-11-21
MBR00013,Jacob Moore,1977-03-15
MBR00014,Talia Lee,2006-09-08
MBR00015,Robert Lee,1965-04-27
MBR00016,Sarah Begay,1998-12-11
MBR00017,Daniel Thomas,1991-03-09
MBR00018,Kayla Manygoats,1978-12-19
MBR00019,Jennifer Davis,1993-02-25
MBR00020,Michael Harris,2005-07-20
MBR00021,James Davis,1995-05-18
MBR00022,Ashley Jackson,1979-11-11
MBR00023,Andrew Yazzie,1962-12-24
MBR00024,Cheyenne Yazzie,1968-11-10
MBR00025,Marcus Tsosie,1985-03-18
MBR00026,Ashley White,1982-08-01
MBR00027,Brittany Chee,1981-04-02
MBR00028,Carlos Rodriguez,1993-02-25
MBR00029,Rosa Whitehorse,1997-03-09
MBR00030,Matthew Martin,1996-12-23
MBR00031,Rosa Lewis,2003-06-15
MBR00032,Alma Nez,1966-06-01
MBR00033,Cheyenne Brown,1962-02-23
MBR00034,Brittany Moore,1983-02-17
MBR00035,Juan Chee,1996-03-24
MBR00036,David Miller,1992-07-07
MBR00037,Shawn Brown,1989-07-15
MBR00038,Shawn Perez,1968-01-13
MBR00039,Carlos Lewis,1977-04-07
MBR00040,Michael Lewis,1979-08-08
MBR00041,Dakota Benally,1997-02-02
MBR00042,Guadalupe Walker,1977-03-14
MBR00043,James Harris,1965-03-13
MBR00044,Nizhoni Nez,1991-05-14
MBR00045,Sarah Brown,1971-04-10
MBR00046,Jennifer Brown,1965-12-11
MBR00047,Miguel Garcia,1995-03-02
MBR00048,Brittany Sanchez,1966-11-28
MBR00049,Robert Redhouse,1977-10-20
MBR00050,Ryan Taylor,1999-10-17
MBR00051,Rebecca Rodriguez,1982-04-09
MBR00052,Michael Smith,1991-06-25
MBR00053,Sarah Yazzie,1968-02-18
MBR00054,Joseph Hernandez,1966-04-12
MBR00055,Dakota Tsosie,1981-10-26
MBR00056,David Rodriguez,1997-05-22
MBR00057,Joseph Whitehorse,1997-03-09
MBR00058,Andrew Yazzie,1975-11-21
MBR00059,Kayla Moore,1965-02-21
MBR00060,Christopher Lewis,1970-11-09
MBR00061,Michael Martinez,1997-01-04
MBR00062,Jessica Ramirez,1985-10-18
MBR00063,Sarah Thomas,1985-01-12
MBR00064,Destiny Martinez,1997-07-20
MBR00065,Maria Lopez,1972-03-14
MBR00066,Destiny Thomas,1988-11-28
MBR00067,Robert Walker,2006-02-13
MBR00068,Isaiah Anderson,1991-06-10
MBR00069,Stephanie Jones,1974-07-11
MBR00070,Rebecca Benally,1984-11-17
MBR00071,Andrew Williams,1978-03-19
MBR00072,Ryan Ramirez,1984-12-26
MBR00073,Matthew Taylor,1969-07-19
MBR00074,Carlos Gonzalez,1962-09-26
MBR00075,Kai Davis,1983-10-11
MBR00076,Tyler Lee,1994-05-22
MBR00077,Tyler Harris,1997-03-07
MBR00078,Rebecca Nez,2001-10-10
